Step 359, time 0.9108, Loss 6.2817
Step 360, time 0.9112, Loss 6.3030
Step 361, time 0.8971, Loss 5.5035
Step 362, time 0.9098, Loss 6.0543
Step 363, time 0.8944, Loss 6.4075
Step 364, time 0.9064, Loss 6.0535
Step 365, time 0.9097, Loss 6.3357
Step 366, time 0.9108, Loss 6.2120
Step 367, time 0.9067, Loss 6.3285
Step 368, time 0.8936, Loss 6.1873
Step 369, time 0.9161, Loss 5.8958
Step 370, time 0.9088, Loss 6.4658
Step 371, time 0.8819, Loss 6.5507
Step 372, time 0.8882, Loss 6.1968
Step 373, time 0.8997, Loss 6.5165
Step 374, time 0.9155, Loss 6.7181
Step 375, time 0.8956, Loss 6.2201
Step 376, time 0.9037, Loss 5.8787
Step 377, time 0.9044, Loss 5.9924
Step 378, time 0.9146, Loss 6.0072
Step 379, time 0.9120, Loss 5.8561
Step 380, time 0.9043, Loss 5.9859
Step 381, time 0.9111, Loss 5.4174
Step 382, time 0.9143, Loss 5.6979
Step 383, time 0.9233, Loss 6.1938
Step 384, time 0.9098, Loss 6.1995
Step 385, time 0.9121, Loss 6.0134
Step 386, time 0.9127, Loss 6.4515
Step 387, time 0.9129, Loss 5.9665
Step 388, time 0.9041, Loss 6.3361
Step 389, time 0.9111, Loss 6.3125
Step 390, time 0.8828, Loss 5.8986
Step 391, time 0.9014, Loss 5.7385
Step 392, time 0.8937, Loss 6.3922
Step 393, time 0.8939, Loss 6.2415
Step 394, time 0.8940, Loss 6.4005
Step 395, time 0.9077, Loss 5.8431
Step 396, time 0.9058, Loss 6.9255
Step 397, time 0.9092, Loss 6.2657
Step 398, time 0.9010, Loss 6.4340
Step 399, time 0.9153, Loss 5.9356
Step 400, time 0.9052, Loss 5.9831
Step 401, time 0.8993, Loss 5.9893
Step 402, time 0.9139, Loss 5.4881
Step 403, time 0.9158, Loss 7.1375
Step 404, time 0.9217, Loss 6.0555
Step 405, time 0.9292, Loss 6.4265
Step 406, time 0.9401, Loss 5.8072
Step 407, time 0.9300, Loss 6.4185
Step 408, time 0.9303, Loss 6.7143
Step 409, time 0.9353, Loss 6.4097
Step 410, time 0.9054, Loss 6.0233
Step 411, time 0.9232, Loss 6.1586
Step 412, time 0.9186, Loss 5.6673
Step 413, time 0.9348, Loss 6.4762
Step 414, time 0.9222, Loss 6.1604
Step 415, time 0.9065, Loss 6.1203
Step 416, time 0.9149, Loss 6.1721
Step 417, time 0.8893, Loss 6.0303
Step 418, time 0.9194, Loss 6.2495
Step 419, time 0.9126, Loss 6.2661
Step 420, time 0.9209, Loss 5.9487
Step 421, time 0.9142, Loss 6.1624
Step 422, time 0.8885, Loss 6.1405
Step 423, time 0.9186, Loss 6.2491
Step 424, time 0.9240, Loss 6.7277
Step 425, time 0.9059, Loss 6.2749
Step 426, time 0.8976, Loss 6.5022
Step 427, time 0.9327, Loss 5.6408
Step 428, time 0.9321, Loss 5.6618
Step 429, time 0.9022, Loss 5.5853
Step 430, time 0.9021, Loss 6.1429
Step 431, time 0.8885, Loss 6.2003
Step 432, time 0.8954, Loss 6.2329
Step 433, time 0.9241, Loss 6.0782
Step 434, time 0.9336, Loss 5.9667
Step 435, time 0.9198, Loss 6.4700
Step 436, time 0.9373, Loss 6.5194
Step 437, time 0.9360, Loss 6.2642
Step 438, time 0.9275, Loss 6.0765
Step 439, time 0.9089, Loss 6.5811
Step 440, time 0.9320, Loss 6.9927
Step 441, time 0.9447, Loss 5.9767
Step 442, time 0.9294, Loss 5.8344
Step 443, time 0.9317, Loss 6.3320
Step 444, time 0.9021, Loss 6.3815
Step 445, time 0.9090, Loss 6.5864
Step 446, time 0.9205, Loss 5.7012
Step 447, time 0.8964, Loss 5.2948
Step 448, time 0.9283, Loss 6.5078
Step 449, time 0.9132, Loss 5.4939
Step 450, time 0.9033, Loss 5.9553
Step 451, time 0.9064, Loss 5.9182
Step 452, time 0.9060, Loss 5.5016
