Step 403, time 0.5867, Loss 6.2466
Step 404, time 0.5868, Loss 5.7411
Step 405, time 0.5744, Loss 6.2406
Step 406, time 0.5710, Loss 6.0523
Step 407, time 0.5770, Loss 6.0918
Step 408, time 0.5837, Loss 5.8167
Step 409, time 0.5723, Loss 5.2399
Step 410, time 0.5843, Loss 6.2662
Step 411, time 0.5712, Loss 5.8993
Step 412, time 0.5730, Loss 6.8565
Step 413, time 0.5777, Loss 6.1094
Step 414, time 0.5720, Loss 6.0723
Step 415, time 0.5727, Loss 5.4380
Step 416, time 0.5709, Loss 5.8538
Step 417, time 0.5764, Loss 6.0022
Step 418, time 0.5714, Loss 6.4159
Step 419, time 0.5666, Loss 6.0483
Step 420, time 0.5788, Loss 6.4967
Step 421, time 0.5693, Loss 6.1401
Step 422, time 0.5682, Loss 7.5348
Step 423, time 0.5700, Loss 6.0605
Step 424, time 0.5752, Loss 6.8099
Step 425, time 0.5718, Loss 5.9547
Step 426, time 0.5664, Loss 6.7725
Step 427, time 0.5750, Loss 7.0280
Step 428, time 0.5795, Loss 6.0086
Step 429, time 0.5723, Loss 6.5282
Step 430, time 0.5694, Loss 6.9322
Step 431, time 0.5772, Loss 6.6062
Step 432, time 0.5761, Loss 6.0959
Step 433, time 0.5678, Loss 5.9497
Step 434, time 0.5751, Loss 5.8347
Step 435, time 0.5828, Loss 6.9155
Step 436, time 0.5835, Loss 6.1247
Step 437, time 0.5703, Loss 6.6070
Step 438, time 0.5813, Loss 6.0919
Step 439, time 0.5727, Loss 5.9102
Step 440, time 0.5785, Loss 6.7443
Step 441, time 0.5775, Loss 6.5649
Step 442, time 0.5667, Loss 6.2225
Step 443, time 0.5671, Loss 5.8034
Step 444, time 0.5667, Loss 5.7499
Step 445, time 0.5772, Loss 6.5843
Step 446, time 0.5728, Loss 6.0602
Step 447, time 0.5761, Loss 6.0883
Step 448, time 0.5702, Loss 7.1303
Step 449, time 0.5659, Loss 6.3913
Step 450, time 0.5708, Loss 6.4995
Step 451, time 0.5683, Loss 5.9986
Step 452, time 0.5724, Loss 5.6813
Step 453, time 0.5679, Loss 6.9045
Step 454, time 0.5770, Loss 5.9819
Step 455, time 0.5783, Loss 5.9521
Step 456, time 0.5680, Loss 6.2928
Step 457, time 0.5725, Loss 6.2442
Step 458, time 0.5782, Loss 6.1632
Step 459, time 0.5734, Loss 6.4219
Step 460, time 0.5739, Loss 6.4965
Step 461, time 0.5824, Loss 5.7089
Step 462, time 0.5731, Loss 6.1815
Step 463, time 0.5771, Loss 5.9503
Step 464, time 0.5715, Loss 5.7236
Step 465, time 0.5724, Loss 6.0221
Step 466, time 0.5742, Loss 6.8251
Step 467, time 0.5691, Loss 6.3558
Step 468, time 0.5808, Loss 6.9230
Step 469, time 0.5642, Loss 5.9289
Step 470, time 0.5667, Loss 6.4927
Step 471, time 0.5692, Loss 5.8078
Step 472, time 0.5737, Loss 6.4307
Step 473, time 0.5723, Loss 6.0407
Step 474, time 0.5701, Loss 5.9407
Step 475, time 0.5732, Loss 5.9732
Step 476, time 0.5743, Loss 5.9902
Step 477, time 0.5697, Loss 6.1026
Step 478, time 0.5712, Loss 6.0306
Step 479, time 0.5646, Loss 6.4078
Step 480, time 0.5703, Loss 6.7442
Step 481, time 0.5748, Loss 6.1979
Step 482, time 0.5728, Loss 6.1819
Step 483, time 0.5722, Loss 5.9587
Step 484, time 0.5665, Loss 6.2988
Step 485, time 0.5690, Loss 6.3984
Step 486, time 0.5684, Loss 6.1666
Step 487, time 0.5616, Loss 6.0202
Step 488, time 0.5678, Loss 6.3183
Step 489, time 0.5716, Loss 6.5360
Step 490, time 0.5779, Loss 6.1843
Step 491, time 0.5787, Loss 5.9101
Step 492, time 0.5694, Loss 5.6964
Step 493, time 0.5735, Loss 5.9705
Step 494, time 0.5724, Loss 5.8097
Step 495, time 0.5807, Loss 5.7675
Step 496, time 0.5692, Loss 5.1440
Step 497, time 0.5748, Loss 6.3972
Step 498, time 0.5704, Loss 6.1952
Step 499, time 0.5794, Loss 5.9465
Step 500, time 0.5800, Loss 5.7453
Step 501, time 0.5803, Loss 5.8298
Step 502, time 0.5675, Loss 6.1068
Step 503, time 0.5752, Loss 5.8626
Step 504, time 0.5779, Loss 5.6997
Step 505, time 0.5888, Loss 6.2880
Step 506, time 0.5799, Loss 6.0005
Step 507, time 0.5745, Loss 6.1359
Step 508, time 0.5787, Loss 6.6722
Step 509, time 0.5693, Loss 5.7827
Step 510, time 0.5774, Loss 6.2433
Step 511, time 0.5850, Loss 6.6432
Step 512, time 0.5759, Loss 6.0798
